bbox,category_id,image_id,supercategory,category,coco_url,id,lxmert_coordinates,llava_coordinates,iou_lxmert,iou_llava,iou_llava_vs_lxmert
"[109.21, 100.42, 432.9, 226.51]",17,163928,animal,cat,http://images.cocodataset.org/train2017/000000163928.jpg,163928,"[86.55037689208984, 132.55010986328125, 201.75682067871094, 231.00563049316406]","[370.0, 146.25, 470.0, 232.5]",0.200079851271836,0.11372544117505497,0.0
"[91.8, 199.18, 226.12, 421.88]",17,327864,animal,cat,http://images.cocodataset.org/train2017/000000327864.jpg,327864,"[104.56770324707031, 193.18133544921875, 225.0602264404297, 327.3372802734375]","[97.5, 260.0, 232.5, 450.0]",0.5040496646467865,0.5993025905454124,0.2407525834684542
"[75.2, 36.05, 571.71, 461.49]",17,557239,animal,cat,http://images.cocodataset.org/train2017/000000557239.jpg,557239,"[391.22515869140625, 34.59223937988281, 454.1626281738281, 106.7300796508789]","[0.0, 86.22, 633.6, 474.21]",0.021049965941301655,0.6882065914966998,0.005182486062200146
"[16.45, 70.09, 301.5, 429.15]",17,295051,animal,cat,http://images.cocodataset.org/train2017/000000295051.jpg,295051,"[5.443477153778076, 74.2267837524414, 297.240478515625, 406.2153015136719]","[0.0, 51.2, 290.4, 448.0]",0.8793926047988988,0.8250926974859791,0.8051143897339564
"[144.35, 73.39, 298.39, 247.57999999999998]",17,516212,animal,cat,http://images.cocodataset.org/train2017/000000516212.jpg,516212,"[125.78620147705078, 90.37529754638672, 242.91311645507812, 247.40965270996094]","[110.0, 112.5, 240.0, 247.5]",0.5203078232461185,0.4103261631518154,0.7503769107904752
"[34.44, 51.29, 479.74, 561.78]",17,188667,animal,cat,http://images.cocodataset.org/train2017/000000188667.jpg,188667,"[104.37158966064453, 38.57259750366211, 426.35009765625, 566.55859375]","[64.0, 171.6, 537.6, 560.56]",0.7055746342417974,0.6472743303814174,0.5469455120145099
"[246.71, 177.55, 346.84000000000003, 345.81]",17,98549,animal,cat,http://images.cocodataset.org/train2017/000000098549.jpg,98549,"[234.66769409179688, 183.33767700195312, 335.00579833984375, 360.0550842285156]","[230.39999999999998, 216.0, 358.40000000000003, 345.59999999999997]",0.7089951484271559,0.6342599456540825,0.6100361601334242
"[171.32, 161.24, 335.29999999999995, 254.68]",17,82042,animal,cat,http://images.cocodataset.org/train2017/000000082042.jpg,82042,"[265.4178161621094, 165.73104858398438, 325.1277770996094, 221.92344665527344]","[115.19999999999999, 195.96, 384.0, 281.16]",0.2189780790630791,0.33673217596765787,0.06274713069865093
"[122.58, 191.69, 266.13, 357.01]",17,294943,animal,cat,http://images.cocodataset.org/train2017/000000294943.jpg,294943,"[121.03011322021484, 198.4427490234375, 248.7183380126953, 332.5252380371094]","[80.0, 217.49999999999997, 220.0, 348.75]",0.706486904713354,0.4360927481294453,0.47213698089526385
"[176.17, 181.68, 375.74, 363.35]",17,286720,animal,cat,http://images.cocodataset.org/train2017/000000286720.jpg,286720,"[195.23402404785156, 186.87181091308594, 373.6064453125, 352.7418518066406]","[196.79999999999998, 224.0, 384.0, 435.20000000000005]",0.8160507829061964,0.49029975832601774,0.49098255838664645
"[271.03, 216.72, 637.24, 472.24]",17,32816,animal,cat,http://images.cocodataset.org/train2017/000000032816.jpg,32816,"[219.37545776367188, 150.0973663330078, 543.5493774414062, 457.57684326171875]","[243.2, 249.60000000000002, 633.6, 475.2]",0.5143546290007186,0.7998224165732867,0.498587540109337
